iter	Passed	Remaining
354	440978	2043408
355	442207	2042105
356	443489	2041046
357	444730	2039798
358	445969	2038539
359	447218	2037330
360	448420	2035903
361	449613	2034439
362	450882	2033317
363	452079	2031872
364	453381	2030901
365	454656	2029803
366	455880	2028481
367	457209	2027623
368	458574	2026926
369	459797	2025595
370	461098	2024607
371	462395	2023603
372	463605	2022215
373	464883	2021125
374	466145	2019965
375	467366	2018623
376	468630	2017472
377	469892	2016311
378	471109	2014958
379	472389	2013870
380	473651	2012709
381	474862	2011328
382	476143	2010246
383	477413	2009115
384	478643	2007814
385	479909	2006668
386	481184	2005557
387	482400	2004199
388	483689	2003146
389	484949	2001971
390	486148	2000545
391	487407	1999366
392	488675	1998224
393	489895	1996883
394	491157	1995716
395	492425	1994571
396	493618	1993124
397	494868	1991909
398	496136	1990762
399	497355	1989422
400	498624	1988280
401	499873	1987058
402	501117	1985819
403	502398	1984721
404	503614	1983369
405	504858	1982130
406	506134	1981012
407	507355	1979681
408	508598	1978435
409	509856	1977246
410	511142	1976167
411	512373	1974877
412	513647	1973749
413	514916	1972604
414	516142	1971290
415	517417	1970166
416	518669	1968952
417	519919	1967733
418	521171	1966519
419	522399	1965216
420	523626	1963909
421	524913	1962829
422	526159	1961591
423	527377	1960252
424	528642	1959087
425	529866	1957768
426	531077	1956405
427	532334	1955209
428	533601	1954051
429	534830	1952753
430	536089	1951565
431	537313	1950248
432	538548	1948974
433	539827	1947856
434	541055	1946554
435	542291	1945282
436	543556	1944116
437	544784	1942816
438	546024	1941557
439	547286	1940380
440	548536	1939156
441	549780	1937913
442	551043	1936737
443	552271	1935438
444	553560	1934352
445	554833	1933210
446	556066	1931925
447	557309	1930679
448	558623	1929675
449	559877	1928465
450	561120	1927219
451	562420	1926165
452	563722	1925118
453	564981	1923924
454	566279	1922862
455	567542	1921678
456	568842	1920621
457	570102	1919428
458	571398	1918356
459	572626	1917052
460	573912	1915947
461	575134	1914625
462	576361	1913319
463	577644	1912201
464	578879	1910923
465	580135	1909715
466	581397	1908527
467	582622	1907217
468	583861	1905953
469	585120	1904753
470	586347	1903451
471	587583	1902178
472	588865	1901052
473	590095	1899759
474	591339	1898511
475	592617	1897372
476	593838	1896051
477	595076	1894782
478	596375	1893708
479	597594	1892381
480	598879	1891264
481	600141	1890072
482	601367	1888766
483	602611	1887519
484	603892	1886387
485	605126	1885106
486	606386	1883907
487	607710	1882905
488	608949	1881643
489	610185	1880368
490	611464	1879227
491	612679	1877887
492	613991	1876844
493	615243	1875620
494	616470	1874318
495	617768	1873234
496	619055	1872112
497	620294	1870847
498	621593	1869762
499	622874	1868622
500	624081	1867261
501	625355	1866101
502	626631	1864944
503	627831	1863564
504	629098	1862381
505	630376	1861230
506	631577	1859851
507	632839	1858654
508	634092	1857430
509	635281	1856019
510	636554	1854853
511	637826	1853683
512	639040	1852345
513	640300	1851141
514	641578	1849988
515	642778	1848611
516	644047	1847433
517	645325	1846278
518	646543	1844953
519	647798	1843735
520	649081	1842593
521	650266	1841176
522	651566	1840083
523	652871	1839003
524	654102	1837715
525	655368	1836526
526	656636	1835343
527	657855	1834020
528	659137	1832875
529	660400	1831675
530	661624	1830368
531	662881	1829155
532	664106	1827850
533	665358	1826619
534	666630	1825445
535	667874	1824195
536	669109	1822919
537	670386	1821755
538	671655	1820573
539	672898	1819317
540	674194	1818207
541	675449	1816983
542	676702	1815755
543	677960	1814542
544	679203	1813285
545	680461	1812071
546	681745	1810925
547	682989	1809673
548	684226	1808403
549	685502	1807234
550	686738	1805958
551	687979	1804700
552	689235	1803479
553	690475	1802216
554	691718	1800960
555	692992	1799786
556	694222	1798498
557	695456	1797217
558	696701	1795970
559	697931	1794682
560	699187	1793460
561	700466	1792297
562	701697	1791010
563	702938	1789751
564	704117	1788334
565	705361	1787083
566	706599	1785815
567	707877	1784649
568	709137	1783437
569	710379	1782181
570	711633	1780952
571	712861	1779661
